section,metric,value,rate,project_name,n_events,source,lifecycle_stage,event_scope,event_type,status_field,warning_type
overall,total_events,470641.0,1.0,,,,,,,,
overall,duplicate_event_ids,0.0,0.0,,,,,,,,
overall,missing_timestamp,21568.0,0.04582686166313602,,,,,,,,
overall,missing_raw_actor_identifier,21657.0,0.04601596545987281,,,,,,,,
overall,issue_linked_events,399499.0,0.8488401987927103,,,,,,,,
overall,project_level_events,71142.0,0.15115980120728964,,,,,,,,
project,,,,kafka,188364.0,,,,,,
project,,,,nifi,82592.0,,,,,,
project,,,,storm,73419.0,,,,,,
project,,,,zeppelin,58395.0,,,,,,
project,,,,zookeeper,67871.0,,,,,,
source,,,,,11934.0,commit,,,,,
source,,,,,94124.0,event,,,,,
source,,,,,8607.0,issue,,,,,
source,,,,,63187.0,issue_comment,,,,,
source,,,,,49367.0,pull_request,,,,,
source,,,,,134817.0,pull_request_comment,,,,,
source,,,,,37046.0,pull_request_review,,,,,
source,,,,,71559.0,pull_request_review_comment,,,,,
lifecycle_stage,,,,,10177.0,,closure,,,,
lifecycle_stage,,,,,63187.0,,discussion,,,,
lifecycle_stage,,,,,11934.0,,fixing,,,,
lifecycle_stage,,,,,49367.0,,integration,,,,
lifecycle_stage,,,,,8607.0,,reporting,,,,
lifecycle_stage,,,,,243422.0,,review,,,,
lifecycle_stage,,,,,21019.0,,triage,,,,
lifecycle_stage,,,,,62928.0,,unknown,,,,
event_scope,,,,,399499.0,,,issue_linked,,,
event_scope,,,,,71142.0,,,project_level,,,
event_scope_source,,,,,11934.0,commit,,issue_linked,,,
event_scope_source,,,,,94124.0,event,,issue_linked,,,
event_scope_source,,,,,8607.0,issue,,issue_linked,,,
event_scope_source,,,,,63187.0,issue_comment,,issue_linked,,,
event_scope_source,,,,,39997.0,pull_request,,issue_linked,,,
event_scope_source,,,,,118169.0,pull_request_comment,,issue_linked,,,
event_scope_source,,,,,20313.0,pull_request_review,,issue_linked,,,
event_scope_source,,,,,43168.0,pull_request_review_comment,,issue_linked,,,
event_scope_source,,,,,9370.0,pull_request,,project_level,,,
event_scope_source,,,,,16648.0,pull_request_comment,,project_level,,,
event_scope_source,,,,,16733.0,pull_request_review,,project_level,,,
event_scope_source,,,,,28391.0,pull_request_review_comment,,project_level,,,
unknown_lifecycle_stage,,,,,20757.0,event,,,issue_field_changed,RemoteIssueLink,
unknown_lifecycle_stage,,,,,9902.0,event,,,issue_field_changed,fix_versions,
unknown_lifecycle_stage,,,,,7036.0,event,,,issue_field_changed,Attachment,
unknown_lifecycle_stage,,,,,4836.0,event,,,issue_field_changed,Workflow,
unknown_lifecycle_stage,,,,,4242.0,event,,,issue_field_changed,WorklogId,
unknown_lifecycle_stage,,,,,4220.0,event,,,issue_field_changed,timespent,
unknown_lifecycle_stage,,,,,3138.0,event,,,issue_field_changed,issue_links,
unknown_lifecycle_stage,,,,,2574.0,event,,,issue_field_changed,desc,
unknown_lifecycle_stage,,,,,1332.0,event,,,issue_field_changed,affects_versions,
unknown_lifecycle_stage,,,,,959.0,event,,,issue_field_changed,title,
unknown_lifecycle_stage,,,,,916.0,event,,,issue_field_changed,components,
unknown_lifecycle_stage,,,,,832.0,event,,,issue_field_changed,labels,
unknown_lifecycle_stage,,,,,497.0,event,,,issue_field_changed,Hadoop Flags,
unknown_lifecycle_stage,,,,,463.0,event,,,issue_field_changed,timeestimate,
unknown_lifecycle_stage,,,,,339.0,event,,,issue_field_changed,Reviewer,
unknown_lifecycle_stage,,,,,323.0,event,,,issue_field_changed,Comment,
unknown_lifecycle_stage,,,,,183.0,event,,,issue_field_changed,Epic Link,
unknown_lifecycle_stage,,,,,110.0,event,,,issue_field_changed,Release Note,
unknown_lifecycle_stage,,,,,106.0,event,,,issue_field_changed,issue_type,
unknown_lifecycle_stage,,,,,79.0,event,,,issue_field_changed,environment,
unknown_lifecycle_stage,,,,,19.0,event,,,issue_field_changed,Flags,
unknown_lifecycle_stage,,,,,15.0,event,,,issue_field_changed,parent_issue_id,
unknown_lifecycle_stage,,,,,15.0,event,,,issue_field_changed,reporter_id,
unknown_lifecycle_stage,,,,,12.0,event,,,issue_field_changed,original_time_estimate,
unknown_lifecycle_stage,,,,,8.0,event,,,issue_field_changed,Tags,
unknown_lifecycle_stage,,,,,4.0,event,,,issue_field_changed,External issue URL,
unknown_lifecycle_stage,,,,,3.0,event,,,issue_field_changed,Docs Text,
unknown_lifecycle_stage,,,,,3.0,event,,,issue_field_changed,Key,
unknown_lifecycle_stage,,,,,2.0,event,,,issue_field_changed,Project,
unknown_lifecycle_stage,,,,,1.0,event,,,issue_field_changed,INFRA-Members,
unknown_lifecycle_stage,,,,,1.0,event,,,issue_field_changed,Rank,
unknown_lifecycle_stage,,,,,1.0,event,,,issue_field_changed,project,
warnings,,,,,21597.0,pull_request_review_comment,,,review_comment_added,,missing_raw_actor_identifier
warnings,,,,,21568.0,pull_request_review_comment,,,review_comment_added,,missing_timestamp
warnings,,,,,29.0,pull_request_review,,,review_submitted,,missing_raw_actor_identifier
warnings,,,,,23.0,issue,,,issue_created,,missing_raw_actor_identifier
warnings,,,,,5.0,event,,,issue_field_changed,,missing_raw_actor_identifier
warnings,,,,,3.0,event,,,status_changed,,missing_raw_actor_identifier
