pca_components,min_cluster_size,min_samples,metric,n_clusters,noise_count,noise_ratio,largest_cluster_size,largest_cluster_ratio,mean_cluster_size,median_cluster_size,selection_score,selected
12,20,10,euclidean,6,818,0.43029984218832196,571,0.3003682272488164,180.5,116.0,3.8390320883745397,True
15,20,10,euclidean,6,827,0.4350341925302472,568,0.29879011046817466,179.0,111.0,3.831141504471331,False
12,20,5,euclidean,6,835,0.43924250394529196,572,0.300894266175697,177.66666666666666,116.0,3.8206207259337193,False
10,20,10,euclidean,5,759,0.3992635455023672,617,0.3245660178853235,228.4,141.0,3.676906891109942,False
10,50,10,euclidean,5,759,0.3992635455023672,617,0.3245660178853235,228.4,141.0,3.676906891109942,False
15,20,5,euclidean,5,795,0.41820094687006837,587,0.3087848500789058,221.2,168.0,3.6548132561809576,False
12,50,10,euclidean,5,845,0.44450289321409786,571,0.3003682272488164,211.2,138.0,3.610625986322988,False
12,20,20,euclidean,5,844,0.4439768542872172,618,0.3250920568122041,211.4,130.0,3.5869542346133616,False
10,50,5,euclidean,4,761,0.40031562335612836,647,0.3403471856917412,285.0,199.5,3.459021567596002,False
10,20,20,euclidean,4,805,0.42346133613887427,636,0.3345607574960547,274.0,184.0,3.4185165702261973,False
10,50,20,euclidean,4,805,0.42346133613887427,636,0.3345607574960547,274.0,184.0,3.4185165702261973,False
15,50,5,euclidean,4,840,0.4418726985796949,587,0.3087848500789058,265.25,190.5,3.4074697527617044,False
10,100,5,euclidean,3,635,0.3340347185691741,647,0.3403471856917412,422.0,410.0,3.391583377169911,False
15,100,5,euclidean,3,669,0.35192004208311417,587,0.3087848500789058,410.6666666666667,432.0,3.387375065754866,False
10,100,20,euclidean,3,660,0.34718569174118885,636,0.3345607574960547,413.6666666666667,397.0,3.3710678590215677,False
10,100,10,euclidean,3,673,0.3540241977906365,617,0.3245660178853235,409.3333333333333,404.0,3.3673855865334033,False
15,100,20,euclidean,3,688,0.36191478169384533,597,0.3140452393477117,404.3333333333333,409.0,3.362125197264598,False
12,100,20,euclidean,3,678,0.35665439242503943,618,0.3250920568122041,407.6666666666667,410.0,3.361599158337717,False
12,100,5,euclidean,3,703,0.3698053655970542,572,0.300894266175697,399.3333333333333,431.0,3.359495002630194,False
20,100,5,euclidean,3,730,0.3840084166228301,526,0.2766964755391899,390.3333333333333,433.0,3.3552866912151496,False
15,100,10,euclidean,3,727,0.38243029984218835,568,0.29879011046817466,391.3333333333333,397.0,3.336349289847449,False
20,100,10,euclidean,3,749,0.3940031562335613,537,0.2824829037348764,384.0,407.0,3.329510783798001,False
20,100,20,euclidean,3,743,0.3908469226722778,549,0.28879537085744345,386.0,403.0,3.3295107837980007,False
12,100,10,euclidean,3,734,0.38611257233035245,571,0.3003682272488164,389.0,401.0,3.327406628090478,False
10,20,5,euclidean,6,863,0.45397159389794844,531,0.27932667017359286,173.0,119.5,-1.2190426091530773,False
20,20,10,euclidean,5,884,0.4650184113624408,537,0.2824829037348764,203.4,128.0,-1.5326670173592845,False
20,50,10,euclidean,5,884,0.4650184113624408,537,0.2824829037348764,203.4,128.0,-1.5326670173592845,False
20,20,5,euclidean,6,937,0.49289847448711205,421,0.22146238821672803,160.66666666666666,136.0,-1.5504471330878484,False
12,50,5,euclidean,4,856,0.45028932140978434,572,0.300894266175697,261.25,189.5,-1.6037874802735401,False
12,50,20,euclidean,4,867,0.4560757496054708,618,0.3250920568122041,258.5,162.5,-1.685849552866912,False
20,50,20,euclidean,4,875,0.4602840610205155,549,0.28879537085744345,256.5,192.0,-1.691635981062598,False
20,20,20,euclidean,4,875,0.4602840610205155,549,0.28879537085744345,256.5,192.0,-1.691635981062598,False
20,50,5,euclidean,4,891,0.4687006838506049,526,0.2766964755391899,252.5,194.0,-1.7637033140452392,False
15,20,20,euclidean,4,893,0.46975276170436614,597,0.3140452393477117,252.0,160.5,-1.8115728563913733,False
15,50,20,euclidean,4,893,0.46975276170436614,597,0.3140452393477117,252.0,160.5,-1.8115728563913733,False
15,50,10,euclidean,4,902,0.4744871120462914,568,0.29879011046817466,249.75,168.5,-1.843661230931089,False
