section,metric,value,rate,count,missing,mean,std,min,p25,median,p75,p90,p95,max
overall,input_events,470641.0,1.0,,,,,,,,,,,
overall,actor_unknown_events,21657.0,0.04601596545987281,,,,,,,,,,,
overall,events_used,448984.0,0.9539840345401271,,,,,,,,,,,
overall,actor_feature_rows,5973.0,,,,,,,,,,,,
overall,unique_actors,5973.0,,,,,,,,,,,,
overall,bot_actors,1.0,0.00016742005692281934,,,,,,,,,,,
overall,low_activity_actors,4072.0,0.6817344717897204,,,,,,,,,,,
overall,feature_columns_including_actor_id,58.0,,,,,,,,,,,,
overall,feature_columns_excluding_actor_id,57.0,,,,,,,,,,,,
total_events_distribution,,,,5973.0,0.0,75.16892683743512,831.9031778274687,1.0,2.0,4.0,12.0,49.0,170.0,34865.0
n_unique_issues_distribution,,,,5973.0,0.0,12.311401305876444,77.0722914548998,0.0,1.0,1.0,2.0,9.0,44.0,2244.0
project_level_ratio_distribution,,,,5973.0,0.0,0.1534854366962163,0.35138674211133714,0.0,0.0,0.0,0.0,1.0,1.0,1.0
