k,cluster_label,n_issues,issue_ratio
2,0,8496,0.98710352039038
2,1,111,0.012896479609620077
3,0,5367,0.6235622168002788
3,1,3129,0.36354130359010106
3,2,111,0.012896479609620077
4,0,5266,0.6118275822005345
4,1,3067,0.35633786452887184
4,2,163,0.018938073660973626
4,3,111,0.012896479609620077
5,0,425,0.04937841291971651
5,1,4978,0.5783664459161147
5,2,2931,0.3405367723945626
5,3,162,0.018821889159986057
5,4,111,0.012896479609620077
6,0,2441,0.2836063669106541
6,1,3919,0.45532705937028
6,2,1549,0.17996979202974323
6,3,162,0.018821889159986057
6,4,111,0.012896479609620077
6,5,425,0.04937841291971651
7,0,1404,0.16312303938654585
7,1,2197,0.25525734866968747
7,2,162,0.018821889159986057
7,3,1058,0.12292320204484722
7,4,111,0.012896479609620077
7,5,3250,0.37759962820959686
7,6,425,0.04937841291971651
8,0,985,0.11444173347275473
8,1,3250,0.37759962820959686
8,2,111,0.012896479609620077
8,3,2176,0.2528174741489485
8,4,162,0.018821889159986057
8,5,424,0.04926222841872894
8,6,1006,0.11688160799349367
8,7,493,0.05727895898687115
9,0,423,0.049146043917741376
9,1,3250,0.37759962820959686
9,2,162,0.018821889159986057
9,3,2100,0.24398745207389333
9,4,111,0.012896479609620077
9,5,424,0.04926222841872894
9,6,409,0.047519460903915414
9,7,1006,0.11688160799349367
9,8,722,0.08388520971302428
10,0,3250,0.37759962820959686
10,1,1006,0.11688160799349367
10,2,2100,0.24398745207389333
10,3,111,0.012896479609620077
10,4,36,0.004182642035552457
10,5,722,0.08388520971302428
10,6,423,0.049146043917741376
10,7,127,0.014755431625421169
10,8,409,0.047519460903915414
10,9,423,0.049146043917741376
11,0,2100,0.24398745207389333
11,1,3250,0.37759962820959686
11,2,259,0.030091785755780177
11,3,1006,0.11688160799349367
11,4,111,0.012896479609620077
11,5,722,0.08388520971302428
11,6,409,0.047519460903915414
11,7,36,0.004182642035552457
11,8,164,0.019054258161961195
11,9,127,0.014755431625421169
11,10,423,0.049146043917741376
12,0,3250,0.37759962820959686
12,1,669,0.07772743116068316
12,2,2100,0.24398745207389333
12,3,111,0.012896479609620077
12,4,127,0.014755431625421169
12,5,977,0.11351225746485419
12,6,260,0.030207970256767747
12,7,36,0.004182642035552457
12,8,214,0.024863483211339608
12,9,318,0.036946671314046706
12,10,163,0.018938073660973626
12,11,382,0.04438247937725107
