k,inertia,silhouette,calinski_harabasz,davies_bouldin,smallest_cluster_size,largest_cluster_size,largest_cluster_ratio,mean_cluster_size,median_cluster_size,n_clusters_under_50,n_clusters_under_100,rank_silhouette,rank_davies_bouldin,rank_calinski_harabasz,rank_largest_balance,rank_smallest_cluster,combined_rank_score,recommended
2,43117.21325157565,0.7315582505690728,1701.3110179963473,0.4330701565111542,111,8496,0.98710352039038,4303.5,4303.5,0,0,5.0,1.0,11.0,11.0,1.0,29.0,False
3,34809.45678234625,0.4086465329454643,2080.285290722713,1.0990696505440642,111,5367,0.6235622168002788,2869.0,3129.0,0,0,11.0,11.0,10.0,10.0,1.0,43.0,False
4,26705.644562301834,0.4378904297350998,2677.6794362713454,0.9209205714201791,111,5266,0.6118275822005345,2151.75,1615.0,0,0,10.0,10.0,9.0,9.0,1.0,39.0,False
5,19988.13721658373,0.48947484489633114,3405.601591491128,0.8232098436033579,111,4978,0.5783664459161147,1721.4,425.0,0,0,9.0,8.0,8.0,8.0,1.0,34.0,False
6,14136.916871501857,0.6014251516919437,4563.671455669639,0.7047259745016601,111,3919,0.45532705937028,1434.5,987.0,0,0,8.0,5.0,7.0,7.0,1.0,28.0,False
7,10105.592486626196,0.684270176582926,5891.343581746885,0.6509886255325704,111,3250,0.37759962820959686,1229.5714285714287,1058.0,0,0,7.0,2.0,6.0,1.0,1.0,17.0,False
8,8727.756837751456,0.7223438871158607,6040.163973601805,0.6539410741684872,111,3250,0.37759962820959686,1075.875,739.0,0,0,6.0,4.0,5.0,1.0,1.0,17.0,False
9,7723.583063836764,0.7404827789864308,6111.324007525648,0.6526990107682971,111,3250,0.37759962820959686,956.3333333333334,424.0,0,0,4.0,3.0,4.0,1.0,1.0,13.0,True
10,6964.361425911864,0.7414474648496574,6127.923379105274,0.746114223431092,36,3250,0.37759962820959686,860.7,423.0,1,1,3.0,6.0,3.0,1.0,9.0,22.0,False
11,6318.0205121189865,0.7428141745965984,6166.566362526409,0.8427796829846058,36,3250,0.37759962820959686,782.4545454545455,409.0,1,1,2.0,9.0,2.0,1.0,9.0,23.0,False
12,5646.58118411647,0.7527088731671415,6364.762416441498,0.7953736346873074,36,3250,0.37759962820959686,717.25,289.0,1,1,1.0,7.0,1.0,1.0,9.0,19.0,False
