rep,sample_n,k,ari,nmi,v_measure,silhouette,largest_cluster_size,largest_cluster_ratio,smallest_cluster_size
1,6886,9,1.0,1.0,1.0,0.7413865248290653,2618,0.3801916932907348,90
2,6886,9,1.0,1.0,1.0000000000000002,0.7408674909092207,2590,0.3761254719721173,90
3,6886,9,1.0,1.0,1.0,0.7455886211268893,2625,0.3812082486203892,85
4,6886,9,1.0,1.0,1.0,0.7427668684916165,2586,0.3755445832123148,88
5,6886,9,1.0,1.0,0.9999999999999999,0.7371095515232785,2608,0.3787394713912286,91
6,6886,9,1.0,1.0,1.0,0.7384230964433338,2601,0.3777229160615742,92
7,6886,9,1.0,1.0,1.0,0.7422058748601797,2609,0.3788846935811792,92
8,6886,9,0.9993715401283639,0.9968753877037317,0.9968753877037316,0.7397425236720561,2603,0.37801336044147543,94
9,6886,9,0.9994606518270576,0.9972111889314574,0.9972111889314575,0.7404831270513889,2593,0.3765611385419692,84
10,6886,9,1.0,1.0,1.0,0.7406659891759053,2553,0.37075225094394426,85
11,6886,9,0.9996791964815708,0.9981889950767409,0.9981889950767411,0.7380708502790714,2602,0.3778681382515248,86
12,6886,9,1.0,1.0,0.9999999999999999,0.7379016686747696,2616,0.3799012489108336,89
13,6886,9,1.0,1.0,1.0000000000000002,0.7371686385296713,2601,0.3777229160615742,84
14,6886,9,1.0,1.0,1.0,0.7411722055973954,2574,0.3738019169329074,87
15,6886,9,1.0,1.0,1.0,0.7414750841877591,2602,0.3778681382515248,85
16,6886,9,0.9995195098909122,0.9974823391969542,0.9974823391969542,0.7388199239895615,2603,0.37801336044147543,90
17,6886,9,1.0,1.0,1.0,0.7414472758658526,2597,0.3771420273017717,88
18,6886,9,1.0,1.0,1.0,0.7400096627405361,2640,0.38338658146964855,93
19,6886,9,1.0,1.0,1.0000000000000002,0.7435949413824245,2651,0.38498402555910544,89
20,6886,9,1.0,1.0000000000000002,1.0000000000000002,0.7387210421810123,2582,0.3749636944525123,94
21,6886,9,0.9994512113584082,0.9971899523435133,0.9971899523435132,0.742440559419131,2648,0.38454835898925355,88
22,6886,9,0.8991438977769048,0.9406442033880335,0.9406442033880333,0.7454856826480623,2315,0.33618936973569563,89
23,6886,9,1.0,0.9999999999999999,0.9999999999999999,0.7396366641908916,2563,0.3722044728434505,94
24,6886,9,1.0,1.0,0.9999999999999999,0.7425840705559716,2595,0.3768515829218705,82
25,6886,9,1.0,1.0,1.0,0.7393581237336055,2587,0.3756898054022655,88
26,6886,9,0.9995925812350417,0.9978179905596777,0.9978179905596777,0.740011621691598,2585,0.3753993610223642,77
27,6886,9,1.0,0.9999999999999999,0.9999999999999999,0.7429746249663443,2582,0.3749636944525123,96
28,6886,9,0.9980234358750495,0.99231845702428,0.99231845702428,0.7385391325043148,2599,0.37743247168167293,90
29,6886,9,1.0,1.0,1.0000000000000002,0.7431577698938591,2620,0.3804821376706361,86
30,6886,9,1.0,1.0,1.0,0.7384619546919238,2571,0.3733662503630555,87
